type;raw;processed;sample_size;mu;var;mu_se;se_se;poscase_dat;poscase_est;meanlevel_dat;meanlevel_est;meanlevelpos_dat;meanlevelpos_est;medlevel_dat;medlevel_est;ref
T-2;Wheat;NA;181;1.79;0.2;0.59976642;32.47350045;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
HT-2;Wheat;NA;181;1.79;0.2;0.59976642;32.47350045;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
T-2;Barley;NA;107;1.79;0.21;0.28168891;22.52991334;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
HT-2;Barley;NA;107;1.79;0.21;0.28168891;22.52991334;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
T-2;Triticale;NA;81;1.79;0.22;0.48560932;18.60457072;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
HT-2;Triticale;NA;81;1.79;0.22;0.48560932;18.60457072;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
T-2;Rye;NA;31;1.79;0.24;0.34519717;9.82155804;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
HT-2;Rye;NA;31;1.79;0.24;0.34519717;9.82155804;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
T-2;Oats;NA;15;1.79;0.26;0.18561762;6.22619547;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
HT-2;Oats;NA;15;1.79;0.26;0.18561762;6.22619547;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
T-2;Spelt;NA;18;1.79;0.25;0.48560932;6.96411822;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
HT-2;Spelt;NA;18;1.79;0.25;0.48560932;6.96411822;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
T-2;Wheat;NA;48;-1.61;0.23;0.59976642;13.09964986;0;0;NA;0;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Wheat;NA;48;-1.39;0.23;0.59976642;13.09964986;0;0;NA;0;NA;0;NA;0;Bertuzzi et al., 2014
T-2;Wheat;NA;47;-0.16;1.31;0.19846481;0.14390981;0.7;0.72;2.3;1.95;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Wheat;NA;47;0.74;1.31;0.20251739;0.13130602;0.85;0.86;5.7;4.89;NA;0;NA;0;Bertuzzi et al., 2014
T-2;Wheat;NA;52;-1.61;0.22;0.59976642;13.79901624;0;0;NA;0;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Wheat;NA;52;-2.44;1.54;2.28143789;1.09805758;0.02;0.13;NA;0.4;NA;0;NA;0;Bertuzzi et al., 2014
T-2;Durum wheat;NA;51;-2.08;1.6;0.45104163;0.27005137;0.22;0.23;0.6;0.5;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Durum wheat;NA;51;-1.68;2.03;0.44726913;0.22553254;0.29;0.31;2.6;1.51;NA;0;NA;0;Bertuzzi et al., 2014
T-2;Durum wheat;NA;48;1.72;0.71;0.19244063;0.18475253;1;1;7.1;7.19;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Durum wheat;NA;48;2.76;0.56;0.13619133;0.14846128;1;1;18.4;18.55;NA;0;NA;0;Bertuzzi et al., 2014
